title,RAM,storage,color,model_no,deal_price,org_price,discount,rating,no_of_ratings,battery,processor_brand,os,processor_core,camera,warranty
itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice  (Blue),32 MB,32 MB,Blue,it5361,1494,1799,16% off,4.1,"9,606 Ratings & 596 Reviews",1900 mAh,Unisoc,N/A,Single Core,0.8MP + 0MP,13 Months
"SAMSUNG Galaxy A16 5G (Blue Black, 128 GB)  (6 GB RAM)",6 GB,128 GB,Blue Black,SM-A166P,15499,19999,22% off,4.1,865 Ratings & 49 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"vivo Y28s 5G (Twinkling Purple, 128 GB)  (6 GB RAM)",6 GB,128 GB,Twinkling Purple,V2351,14349,19999,28% off,4.4,932 Ratings & 47 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 0.08MP,1 Year
"OPPO F27 Pro+ (Midnight Navy, 256 GB)  (8 GB RAM)",8 GB,256 GB,Midnight Navy,CPH2643,27999,34999,20% off,4.3,"4,086 Ratings & 205 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,64MP + 2MP,1 Year
"vivo V40 5G (Ganges Blue, 256 GB)  (8 GB RAM)",8 GB,256 GB,Ganges Blue,V2348,36999,42999,13% off,4.5,"8,304 Ratings & 872 Reviews",5500 mAh,Snapdragon,Android 14,Octa Core,50MP + 50MP,1 Year
"vivo Y18 (Gem Green, 128 GB)  (4 GB RAM)",4 GB,128 GB,Gem Green,V2333,9989,13999,28% off,4.1,"1,493 Ratings & 59 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 0.08MP,1 Year
itel Ace2 Heera | King Talker | Auto Call Recording | Expendable Storage32GB  (Pure Green),32 MB,32 MB,Pure Green,Ace2L,859,999,14% off,4,145 Ratings & 7 Reviews,1000 mAh,NA,N/A,Single Core,,1 Year
"vivo Y29 5G (Glacier Blue, 128 GB)  (6 GB RAM)",6 GB,128 GB,Glacier Blue,V2420,15499,17999,13% off,4.4,734 Ratings & 32 Reviews,5500 mAh,Mediatek,Android 14,Octa Core,50MP + 0.08MP,1 Year
"vivo T2x 5G (Aurora Gold, 128 GB)  (8 GB RAM)",8 GB,128 GB,Aurora Gold,V2253|V2312,14999,20999,28% off,4.4,"77,392 Ratings & 4,342 Reviews",5000 mAh,Mediatek,Android 13,Octa Core,50MP + 2MP,1 Year
hmd 105 Dual Sim  (Black),4 MB,4 MB,Black,TA-1633,984,1499,34% off,4.2,"1,091 Ratings & 99 Reviews",1000 mAh,Snapdragon,Symbian Series 30,Dual Core,,1 Year
"SAMSUNG Galaxy A16 5G (Light Green, 256 GB)  (8 GB RAM)",8 GB,256 GB,Light Green,SM-A166P,19999,24499,18% off,4.2,"1,767 Ratings & 122 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Buttons  (Dark Blue)",4 MB,4 MB,Dark Blue,TA-1576 DS,1864,2199,15% off,4.1,"8,415 Ratings & 414 Reviews",1450 mAh,Mediatek,N/A,N/A,,1 Year
"realme P1 Pro 5G (Phoenix Red, 256 GB)  (12 GB RAM)",12 GB,256 GB,Phoenix Red,RMX3844,17999,26999,33% off,4.4,"6,701 Ratings & 430 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 8MP,1 Year
"SAMSUNG Galaxy A16 5G (Gold, 128 GB)  (6 GB RAM)",6 GB,128 GB,Gold,A166P-SM,14999,19999,25% off,4.1,865 Ratings & 49 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"vivo V40 Pro 5G (Ganges Blue, 256 GB)  (8 GB RAM)",8 GB,256 GB,Ganges Blue,V2347,49999,54999,9% off,4.4,"1,091 Ratings & 137 Reviews",5500 mAh,Mediatek,Android 14,Octa Core,50MP + 50MP + 50MP,1 Year
"vivo Y300 5G (Titanium Silver, 256 GB)  (8 GB RAM)",8 GB,256 GB,Titanium Silver,V2416,23999,28999,17% off,4.4,"1,841 Ratings & 117 Reviews",5000 mAh,Snapdragon,Android 14,Octa Core,50MP + 2MP,1 Year
"realme Narzo 70 Pro 5G (Green, Glass Green, 128 GB)  (8 GB RAM)",8 GB,128 GB,"Green, Glass Green",RMX3868,18849,24999,24% off,4.4,"3,074 Ratings & 219 Reviews",5000 mAh,Mediatek,Android Android 14,Octa Core,50MP Rear Camera,1 Year
"REDMI A3 (Olive Green, 128 GB)  (6 GB RAM)",6 GB,128 GB,Olive Green,MZB0GO3IN,8689,11999,27% off,4.1,"5,903 Ratings & 294 Reviews",5000 mAh,Mediatek,Android 14,Octa Core,8MP Rear Camera,1 Year
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 128 GB)  (8 GB RAM)",8 GB,128 GB,Awesome Iceblue,SM-A556ELBZINS,39995,42999,6% off,4.4,"1,426 Ratings & 125 Reviews",5000 mAh,Exynos,Android 14,Octa Core,50MP + 12MP + 5MP,1 Year
"Infinix HOT 30i (Marigold, 128 GB)  (8 GB RAM)",8 GB,128 GB,Marigold,X669C,9499,11999,20% off,4.3,"1,57,299 Ratings & 8,384 Reviews",5000 mAh,Mediatek,Android 12,Octa Core,50MP + AI Lens,1 Year
"Infinix HOT 30i (Glacier Blue, 128 GB)  (8 GB RAM)",8 GB,128 GB,Glacier Blue,X669C,9499,11999,20% off,4.3,"1,57,299 Ratings & 8,384 Reviews",5000 mAh,Mediatek,Android 12,Octa Core,50MP + AI Lens,1 Year
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)  (8 GB RAM)",8 GB,128 GB,Cream,SM-S911BZEBINS,44999,89999,50% off,4.6,"36,736 Ratings & 2,489 Reviews",3900 mAh,Snapdragon,Android 13,Octa Core,50MP + 10MP + 12MP,1 Year
Kechaoda A26  (Pink),32 MB,32 MB,Pink,A26,897,1499,40% off,4,"26,405 Ratings & 1,521 Reviews",800 mAh,NA,N/A,N/A,0MP,6 Months
"Infinix SMART 8 (Rainbow Blue, 64 GB)  (4 GB RAM)",4 GB,64 GB,Rainbow Blue,X6525B,7299,8999,18% off,4.3,"34,171 Ratings & 1,938 Reviews",5000 mAh,Mediatek,Android 13 Go,Octa Core,50MP + AI Lens,1 Year
"REDMI Note 14 Pro+ 5G (Titan Black, 256 GB)  (8 GB RAM)",8 GB,256 GB,Titan Black,24115RA8EI,31999,36999,13% off,4.3,"1,392 Ratings & 148 Reviews",6200 mAh,Snapdragon,Android 14,Octa Core,50MP + 50MP + 8MP,1 Year
"REDMI 13c 5G (Startrail Silver, 128 GB)  (4 GB RAM)",4 GB,128 GB,Startrail Silver,23124RN87I,12998,13999,7% off,4.3,"43,149 Ratings & 1,754 Reviews",5000 mAh,Mediatek,Android 13,Octa Core,50MP Rear Camera,1 Year
"SAMSUNG Galaxy M16 5G (Mint Green, 128 GB)  (6 GB RAM)",6 GB,128 GB,Mint Green,SM-M166P/DS,13755,17499,21% off,4.2,114 Ratings & 9 Reviews,5000 mAh,Mediatek,Android Oxygen 15,Octa Core,50MP Rear Camera,1 Year
"POCO X3 Pro (Steel Blue, 128 GB)  (6 GB RAM)",6 GB,128 GB,Steel Blue,MZB08T8IN,10586,23999,55% off,4.3,"1,38,290 Ratings & 12,343 Reviews",5160 mAh,Snapdragon,Android 11,Octa Core,48MP + 8MP + 2MP + 2MP,1 Year
"Xiaomi 14 CIVI (Matcha Green, 256 GB)  (8 GB RAM)",8 GB,256 GB,Matcha Green,MZB0HCXIN,39999,54999,27% off,4.3,"1,301 Ratings & 162 Reviews",4700 mAh,Snapdragon,Android 14,Octa Core,50MP Rear Camera,1 Year
"SAMSUNG Galaxy F16 5G (Vibing Blue, 128 GB)  (6 GB RAM)",6 GB,128 GB,Vibing Blue,SM-E166PZBGINS,12999,17499,25% off,4.2,511 Ratings & 44 Reviews,5000 mAh,Mediatek,Android 14,Octa Core,50MP + 5MP + 2MP,1 Year
"SAMSUNG Galaxy S23 FE (Mint, 128 GB)  (8 GB RAM)",8 GB,128 GB,Mint,SM-S711BLGBINS,34999,79999,56% off,4.4,"70,002 Ratings & 4,318 Reviews",4500 mAh,Exynos,Android 13,Octa Core,50MP + 12MP,1 Year
